project_id,building_id,designation_id,project_halted,project_general_last_update,building_count,designation_count,gush,helka,X,Y,municipality_id,municipality_name,building_info_last_update,building_street,building_address_number,building_address_entrance,building_migrash,floors_above_ground,building_area,standard_name_id,standard_name,standard_designation_id,standard_designation_name,standard_designation_main_use,main_use_name,route,designation_area,residential_units,designation_info_last_update,certification_status,certificate_date_pre,certificate_insert_date_pre,certificate_score_pre,certificate_stars_pre,certificate_energy_pre,certificate_date_a,certificate_insert_date_a,certificate_score_a,certificate_stars_a,certificate_energy_a,certificate_date_b,certificate_insert_date_b,certificate_score_b,certificate_stars_b,certificate_energy_b,designation_info_status
3848,4288,4971,הבדיקה בוצעה,02/12/2024,1,1,,,181227,662787,1216,תל אביב - יפו,02/12/2024,הגיבור האלמוני 34,,,,7,2328,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2328,66,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3849,4289,4972,הבדיקה בוצעה,02/12/2024,1,1,6145,812,183571.6495147344,664434.0349942825,71,רמת גן,02/12/2024,מבוא התיכון 11,,,,8,500,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,500,16,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3850,4290,4973,הבדיקה בוצעה,02/12/2024,1,1,4234,4668,185591.33074288658,651406.7185877345,88,באר יעקב,02/12/2024,מתחם 100 אין כתובת בשלב זה,,,100,8,15092,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,15092,154,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3851,4291,4974,הבדיקה בוצעה,02/12/2024,1,1,,,181227.32291931252,662820.6614596562,1216,תל אביב - יפו,02/12/2024,הגיבור האלמוני 36,,,,8,2298,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2298,66,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3852,4292,4975,הבדיקה בוצעה,02/12/2024,1,1,6714,"244,294-29",188771.0749148518,665039.7059010582,55,פתח תקווה,02/12/2024,הנשיאים,16,,,9,7874,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,7874,45,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3854,4294,4977,הבדיקה בוצעה,02/12/2024,1,1,6636,704,183522,668423,1216,תל אביב - יפו,02/12/2024,מינץ 16,,,,7,2224,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2224,24,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3856,4296,4979,הבדיקה בוצעה,02/12/2024,1,1,3637,706,181249.60100737156,648153.4047623109,45,נס ציונה,02/12/2024,זרובבל 17,,,,5,928,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,928,12,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3858,4297,4980,הבדיקה בוצעה,02/12/2024,1,1,,,185045,672487,72,רמת השרון,02/12/2024,ביאליק 10,,,,8,5000,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,5000,24,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3859,4298,4981,הבדיקה בוצעה,02/12/2024,1,1,6973,192,179163.32691733434,662393.6010309537,1216,תל אביב - יפו,02/12/2024,מסילת ישרים,92,,,3,540.5,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,540.5,13,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3861,4300,4983,הבדיקה בוצעה,02/12/2024,1,1,6213,452,179769.92444803249,666370.0876277057,1216,תל אביב - יפו,02/12/2024,שור 8 תל אביב,,,,8,700,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,700,25,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
